ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Pay_AVR,Bill_AVR,P_AMT_AVR,default.payment.next.month
43,10000,1,2,2,22,0.455994497,-101528.8191,-8453.081524,0
44,140000,2,2,1,37,0.455994497,45192.32516,-4918.29109,0
45,40000,2,1,2,30,1.324893575,-51496.24989,-6038.888406,0
46,210000,1,1,2,29,-4.425824512,-110707.1855,-11962.23814,1
47,20000,2,1,2,22,0.898514461,-77685.59317,-4787.047354,1
48,150000,2,5,2,46,-0.773826139,-106400.9323,-10730.93401,1
49,380000,1,2,2,32,-1.984915007,-63344.76168,23528.39471,0
50,20000,1,1,2,24,0.455994497,-63800.91916,-9542.519817,0
51,70000,1,3,2,42,4.209217356,-17780.53759,-8166.639598,1
52,100000,2,3,3,43,0.455994497,-982.9650068,-8433.731285,0
53,310000,2,2,1,49,-4.425824512,-92013.26808,1489.638806,0
54,180000,2,1,2,25,1.636711558,-5615.243021,-8098.973455,0
55,150000,2,1,2,29,1.130515028,-36875.47736,-7542.988603,0
56,500000,2,1,1,45,-4.425824512,-107227.7939,-10007.38306,0
57,180000,2,3,1,34,-0.787441592,-87240.25187,-2544.247697,0
58,180000,2,2,1,34,0.455994497,280550.6128,1485.251806,0
59,200000,2,1,2,34,4.747761108,-107953.5774,-11454.87379,0
60,400000,2,2,1,29,0.455994497,822101.1486,28005.79435,0
61,500000,2,3,1,28,0.455994497,-65369.67442,-8868.695404,1
62,70000,1,2,1,39,0.060326555,-5051.953847,-7508.610417,0
63,50000,1,1,2,29,5.337813506,-46855.44268,-9135.210069,1
64,50000,2,2,1,46,-2.030877682,-84968.93433,-11615.98831,1
65,130000,2,2,1,51,-2.857849298,-109792.4558,-11390.31653,0
66,200000,1,1,1,57,-0.755428771,94259.70694,-8634.477458,1
67,10000,1,2,1,56,2.850941327,-101510.8625,-10975.6858,1
68,210000,2,1,2,30,-0.973134211,-107423.4856,-8932.932749,0
69,130000,2,3,2,29,-0.930651801,-108929.6491,784.8721019,0
70,20000,1,5,2,22,1.130515028,-73916.10196,-10364.06356,0
71,80000,1,1,2,31,-1.984915007,-109753.3172,-11240.69572,0
72,320000,1,2,2,29,5.337813506,36212.87034,-7090.572335,1
73,200000,2,2,1,32,-0.744959182,-99758.17382,-5577.848649,0
74,290000,2,1,2,37,-1.732122874,-108478.8859,-9014.37536,0
75,340000,1,1,2,32,-1.984915007,-56389.62578,34868.8582,0
76,20000,1,2,2,24,1.332964001,-69693.29132,-10283.94361,0
77,50000,1,3,2,25,0.118734232,-48659.08255,-9284.281047,0
78,300000,2,1,1,45,-1.984915007,-109997.1462,-11323.09779,0
79,30000,2,2,2,22,0.455994497,-48698.01095,-9019.226853,1
80,240000,2,2,2,44,-3.414043715,-110707.1855,-11962.23814,1
81,470000,2,3,3,33,0.455994497,152080.7728,-1678.962951,0
82,360000,2,1,2,26,0.060326555,4940.67913,29958.02712,0
83,60000,1,3,2,30,0.455994497,-51617.42313,-9841.115398,1
84,400000,2,2,1,44,1.332964001,177724.16,-4958.346992,0
85,50000,2,3,2,49,0.455994497,-36280.84001,-9567.06302,0
86,160000,1,2,2,33,0.455994497,159470.2816,24541.58444,0
87,360000,2,1,1,45,-0.235011213,-109243.4317,-11270.16501,1
88,160000,2,2,2,32,0.060326555,-97747.52602,-8527.247,0
89,130000,2,1,1,35,-0.787441592,-11046.98269,8695.571152,0
90,20000,1,3,2,44,2.765307708,-86095.33129,-9450.467704,0
91,200000,1,1,1,53,5.337813506,239108.1053,148.36593,1
92,280000,2,1,2,39,-1.532814802,-104095.1827,-8975.88386,0
93,100000,2,1,2,27,-4.425824512,-109148.347,-9346.320638,0
94,160000,2,2,1,37,-2.380582949,-108910.3641,-8298.282151,0
95,60000,2,2,2,23,0.455994497,-27565.51344,-9490.604028,0
96,90000,1,2,2,35,0.455994497,38907.04499,-6749.663778,0
97,360000,1,1,1,43,-1.589247065,-87959.66889,24086.51448,0
98,150000,1,1,2,27,0.455994497,86653.75936,-288.215182,0
99,50000,2,3,1,22,0.455994497,-75699.69747,-10246.34515,0
100,20000,1,2,1,38,0.060326555,-71758.84196,-9591.596553,1
101,140000,1,1,2,32,-4.425824512,-104822.8329,-7309.315112,0
102,380000,2,1,2,30,-1.500467581,-59393.40356,15468.94094,0
103,480000,1,1,1,63,2.151530792,1008815.287,52279.77915,0
104,50000,2,3,2,22,0.455994497,-25433.49482,-9294.055505,1
105,60000,2,2,2,26,4.546477622,28482.38606,-5811.288824,0
106,70000,2,2,2,24,-3.271167906,-98843.24252,-5781.263368,0
107,80000,2,2,1,36,-1.984915007,-103149.0453,-6489.460823,0
108,350000,1,1,2,52,-1.984915007,-106445.5052,-7516.580616,0
109,130000,1,2,2,38,-0.787441592,170950.1014,70964.78238,0
110,360000,1,2,1,35,-3.414043715,-110958.5053,-11962.23814,0
111,330000,2,1,1,31,1.332964001,149373.2249,-3114.483121,0
112,50000,1,3,1,47,1.332964001,-73105.87613,-9419.629692,0
113,280000,1,2,1,41,5.733481448,235657.4824,458.1700572,0
114,100000,2,1,2,24,0.455994497,24941.70232,-5701.104763,0
115,50000,1,2,2,41,0.455994497,-62339.79135,-9742.89477,0
116,30000,1,1,2,24,2.993482737,-63148.91029,-9396.971126,1
117,240000,1,1,2,28,-1.984915007,-107727.0701,-9218.473415,0
118,80000,1,2,2,26,1.130515028,-70708.42147,-8892.803079,1
119,400000,1,2,1,34,-1.984915007,-81120.20972,10051.76139,0
120,240000,2,2,2,38,-0.352992053,-20914.06834,-7196.153508,0
121,50000,1,3,2,37,5.772263045,6970.59345,-7284.152328,1
122,450000,1,1,1,40,-3.414043715,-110707.1855,-11962.23814,1
123,110000,2,1,1,48,-3.414043715,-110707.1855,-11962.23814,0
124,310000,2,2,1,35,1.130515028,559240.858,9180.740666,1
125,20000,1,1,2,27,0.455994497,-64958.65502,-10133.06139,0
126,20000,1,2,2,23,-3.414043715,-110707.1855,-11962.23814,0
127,200000,1,3,2,52,0.455994497,140467.998,-3950.408549,0
128,180000,1,1,1,36,0.455994497,164809.9599,-6307.141298,1
129,50000,1,2,1,51,0.455994497,-98566.94176,-9687.085902,1
130,60000,1,3,1,55,3.188201592,-103.5074939,-9709.864413,0
131,30000,2,1,2,23,-2.605057165,-97757.13106,-1909.018276,0
132,240000,1,1,2,41,-0.462626329,-106082.3124,-7855.015051,0
133,420000,1,2,1,34,0.455994497,442853.465,7972.513476,0
134,330000,1,3,1,46,0.455994497,446186.9117,5943.422418,0
135,30000,2,2,2,22,0.455994497,-58619.71452,-9656.310723,0
136,240000,1,2,1,34,2.942866676,-79311.98198,-9753.243046,0
137,150000,1,1,2,27,0.455994497,-54371.388,-4878.530351,0
138,210000,2,2,1,33,0.455994497,-92887.75547,-9253.709904,0
139,50000,2,3,1,51,-2.793901558,-107711.5154,-7433.019648,1
140,50000,1,1,2,24,0.455994497,-22905.22714,-8502.548443,0
141,240000,1,1,2,47,-3.414043715,-110707.1855,-11962.23814,1
142,180000,1,2,2,28,-1.984915007,-109096.8224,-10432.4698,0
143,50000,1,2,2,23,3.38258014,-70853.12688,-3437.066532,0
144,170000,1,2,2,29,-4.425824512,-83283.15394,11239.0615,0
145,20000,1,1,2,29,-1.571596399,-99607.20894,-4152.926771,0
146,50000,1,1,2,28,1.642998324,-91545.6023,-9145.912841,0
147,170000,2,2,2,27,0.455994497,-67319.68408,-10231.46308,1
148,200000,1,1,2,34,1.636711558,219446.7379,19307.51335,0
149,80000,2,2,1,23,3.821064891,-85637.87438,-10855.62907,0
150,260000,2,1,1,60,-1.732122874,-101824.9131,5418.810728,0
151,140000,1,2,1,32,1.282631714,58758.14611,-5441.046705,0
152,80000,1,1,2,25,0.455994497,-5296.265773,9154.366373,0
153,350000,1,1,2,41,-1.706062418,-108649.9043,-9975.554195,0
154,280000,2,2,1,56,0.455994497,285936.495,25287.31836,0
155,30000,2,3,2,26,0.455994497,-82560.10302,-8779.301427,0
156,140000,1,1,1,34,0.455994497,-22041.53382,1227.841028,0
157,200000,2,1,2,37,0.455994497,124049.6225,-3946.338708,0
158,200000,2,3,2,30,0.455994497,309202.6453,2523.002415,0
159,210000,1,3,1,45,10.32803808,214082.2298,11668.23793,1
160,50000,1,3,1,57,2.311232089,-78327.02271,-10160.03972,0
161,30000,1,1,2,41,4.546477622,-44785.8464,-9349.288612,0
162,50000,1,2,2,27,0.213869615,-109349.0536,-10842.47221,0
163,290000,1,3,1,47,-1.571596399,-109198.7385,-11047.36411,0
164,250000,2,1,1,34,1.332964001,262126.943,164.9533706,0
165,60000,2,2,1,46,0.455994497,-50002.89376,-8269.855771,0
166,110000,2,1,2,27,0.455994497,111289.4839,-3910.68042,0
167,370000,1,1,2,50,-4.425824512,-85120.49793,10447.75389,0
168,100000,1,2,1,27,1.839160531,23250.76901,4003.682512,0
169,90000,2,2,1,35,1.247330382,80348.45759,-3517.445199,0
170,50000,2,2,2,22,0.455994497,-41002.45359,-9321.986677,0
171,270000,1,2,2,37,0.455994497,-36533.40322,-5471.13724,0
172,300000,2,1,2,30,-1.984915007,-105952.1538,-8225.503428,0
173,50000,2,2,2,22,0.118734232,-88272.35657,-2093.676735,0
174,50000,2,1,2,24,-3.414043715,-115161.3239,-11962.23814,1
175,360000,1,1,2,29,-2.541109425,-110674.0997,-11904.28722,0
176,130000,1,3,1,56,5.396221183,55673.51473,-6243.719891,1
177,80000,1,1,2,30,-0.640254431,-104454.3438,-10186.85377,0
178,50000,1,2,2,30,2.428047443,-18555.64881,-9423.64884,0
179,20000,2,2,2,22,0.455994497,-76608.87033,-9494.615637,0
180,80000,2,2,1,29,1.332964001,27237.57638,-8675.323405,0
181,240000,1,1,2,37,0.178307395,-61862.8772,12743.78962,0
182,80000,2,3,2,35,0.034266099,-56981.05413,26.35781375,0
183,500000,2,1,1,47,0.455994497,124759.4365,67509.38831,0
184,60000,2,2,1,24,0.455994497,-16631.18719,-7846.31481,1
185,20000,1,2,2,25,0.060326555,-89112.93077,-9711.292678,0
186,100000,2,2,1,38,2.463348775,-73321.8643,-9582.310239,1
187,360000,2,1,2,32,-1.310394476,-43941.6306,54130.06632,0
188,200000,2,3,2,47,5.337813506,370717.5566,2264.103149,1
189,130000,2,2,1,34,0.371526365,-88211.5808,-4169.433052,0
190,20000,2,2,2,31,8.424925624,-59451.75903,-11048.65265,0
191,310000,1,1,2,32,0.455994497,34095.04385,3164.033237,0
192,60000,2,1,2,27,1.957152245,-58069.93124,-9093.531301,1
193,180000,2,1,2,29,-2.023696604,-93133.58123,-6197.247429,0
194,180000,2,1,2,24,-0.217360547,-81179.87592,1221.544844,0
195,50000,1,2,1,36,-0.352992053,-73219.8421,-3838.777609,0
196,50000,2,1,2,24,5.000553241,-17947.74672,-8924.550433,1
197,150000,2,2,1,34,-4.425824512,-110131.4246,-11602.56478,0
198,20000,2,1,2,22,0.042675889,-68529.60755,-5181.566738,0
199,500000,2,1,1,34,-3.182388422,-108123.5976,-4751.669656,0
200,30000,2,3,2,22,2.513681062,-60237.7607,-10906.78037,1
201,180000,2,1,1,38,-4.425824512,-110371.4974,-11962.23814,0
202,140000,1,1,2,31,2.124299885,-56767.46385,377.3020077,0
203,140000,2,1,2,26,-1.563186609,-83677.17559,8751.171591,0
204,120000,1,2,2,26,0.455994497,168401.0232,-1287.168652,0
205,360000,2,2,1,48,0.455994497,385333.8365,2479.632391,0
206,20000,1,3,1,43,-0.302994166,-71201.01914,-1218.832711,0
207,100000,1,1,1,47,-1.984915007,-109414.8493,-10254.23354,0
208,210000,2,2,1,41,-1.984915007,-106655.009,-9462.982864,1
209,80000,2,2,2,24,0.455994497,51592.85634,-6486.214247,1
210,330000,2,1,1,50,-2.793901558,-102317.9865,-7259.754695,0
211,220000,1,1,2,24,-0.787441592,66133.20706,14710.66802,0
212,210000,2,1,1,38,-1.297673335,-109827.5029,-8622.096099,1
213,40000,2,3,1,43,0.455994497,-22293.8358,-8844.41341,0
214,30000,1,2,2,39,1.324893575,-66833.25523,-8464.98962,0
215,470000,1,2,2,27,3.719840405,701641.8119,8574.674462,0
216,30000,1,3,1,42,-0.797911181,-109333.5641,-11089.57536,0
217,240000,2,2,1,36,-3.414043715,-113015.4233,-11962.23814,1
218,80000,1,2,2,36,1.130515028,80871.34003,-4711.64635,0
219,110000,2,3,0,31,0.455994497,75950.67318,-1849.06146,0
220,310000,2,1,2,38,-2.793901558,-108009.1867,-10294.7426,0
221,360000,2,1,1,40,2.850941327,167254.9879,-2184.39436,1
222,330000,2,3,2,45,0.455994497,705090.7193,14918.88887,0
223,300000,2,2,2,35,0.455994497,477533.8252,14281.16714,0
224,320000,2,2,2,33,0.455994497,72700.45857,9081.441328,0
225,50000,2,3,2,37,2.935409459,-9380.052811,-2310.095343,1
226,170000,2,1,2,28,0.455994497,203513.7151,5693.264197,0
227,350000,1,3,1,44,-2.380582949,-107031.8555,-9423.538441,0
228,20000,1,2,1,37,0.455994497,-66788.01198,-8346.842193,0
229,50000,1,2,2,23,1.130515028,-25537.32913,-8106.744844,1
230,20000,2,3,2,24,1.636711558,-83028.16061,-9854.890014,0
231,50000,2,1,2,24,0.455994497,-53865.32587,-8988.157058,0
232,20000,1,2,2,23,2.463348775,-71579.05853,-7676.336048,1
233,50000,1,2,1,26,-1.268743153,-30357.56982,994.2963309,0
234,190000,1,2,2,34,2.748488129,224623.5035,493.6860169,1
235,60000,2,2,1,33,0.455994497,-37039.96467,-9586.896846,0
236,80000,1,1,2,35,-1.984915007,-94197.82053,434.416728,0
237,150000,2,2,2,27,0.455994497,58809.49282,-7292.185993,0
238,210000,2,1,2,31,-3.616837961,-103458.7143,-3162.620157,0
239,240000,2,3,1,50,0.455994497,424950.8782,7131.251447,1
240,140000,2,2,3,41,0.455994497,-63158.46458,-7070.814641,1
241,60000,2,1,2,28,0.422476825,-91154.47301,-11478.25094,0
242,50000,1,1,2,39,0.455994497,-10291.44329,-7277.068528,0
243,50000,2,2,2,27,0.455994497,-42038.51938,-8841.52599,0
244,180000,2,1,2,32,0.633887865,-104460.8792,-10250.35044,0
245,30000,2,1,2,40,3.060847516,-110446.4405,-11719.44214,0
246,20000,2,2,2,40,-0.335341387,-76399.60899,-8985.254779,0
247,250000,2,2,1,75,-1.647654742,-82917.62511,-8021.049721,0
248,100000,2,2,2,27,0.455994497,-30518.22856,-8798.589691,0
249,330000,1,1,2,25,1.282631714,-5248.76656,-5295.231145,0
250,50000,1,3,1,46,0.455994497,-62096.76211,-9332.941904,0
251,50000,2,2,2,26,2.513681062,-10697.89997,-9076.675304,0
252,30000,1,2,2,28,0.455994497,-53866.69905,-8752.733734,0
253,140000,2,2,2,26,0.455994497,145740.158,-2295.440407,1
254,160000,2,1,2,28,0.042675889,23444.52947,22046.65372,0
255,400000,2,2,2,29,-1.563186609,-96151.02106,-6743.550252,0
256,50000,1,2,1,25,0.455994497,-40194.80154,-9310.107353,0
257,140000,2,2,1,48,-1.647654742,-100776.5259,-5058.59867,0
258,160000,2,2,1,33,-1.571596399,-77485.39981,16182.18309,0
259,100000,2,3,1,43,-2.907847185,-82880.87977,-11962.23814,0
260,220000,1,1,1,48,1.130515028,352846.3182,4611.800232,1
261,510000,2,1,2,29,0.455994497,101094.2737,43670.96135,0
262,50000,1,2,2,29,0.455994497,-27310.59453,-6508.173983,0
263,160000,2,1,1,38,-0.744959182,-85942.35183,4214.082501,0
264,230000,2,1,2,37,-4.425824512,-87007.10039,5949.839263,0
265,80000,2,1,2,37,-1.984915007,-96857.91323,-2196.048922,0
266,150000,2,2,1,25,-2.423399759,-107597.6338,-11615.42835,0
267,10000,1,3,2,23,1.247330382,-89679.27215,-10164.7757,0
268,130000,2,3,2,49,0.455994497,40364.07588,-7360.269393,1
269,40000,2,1,2,48,0.455994497,-26210.56334,-8557.814291,0
270,50000,1,2,2,27,2.79253365,-80106.15467,-10153.59513,1
271,100000,1,3,2,32,0.455994497,-34840.07551,-8258.976767,0
272,120000,1,1,1,34,0.523706276,-108838.9822,-10819.79879,0
273,260000,2,1,2,58,-3.414043715,-110707.1855,-11962.23814,1
274,200000,2,2,2,33,0.455994497,-77949.40813,-7968.312807,0
275,360000,2,2,2,28,-4.425824512,-110707.1855,-11962.23814,1
276,70000,2,2,2,36,0.455994497,2580.220365,2103.115965,0
277,460000,1,1,1,40,-0.973134211,-100433.1901,-5282.440745,1
278,50000,2,1,2,26,-1.984915007,-109560.1756,-11268.18882,0
279,50000,1,3,1,33,0.455994497,-21528.33085,-8845.83826,0
280,250000,2,2,1,31,0.455994497,134982.2242,-2114.615698,0
281,30000,2,1,2,27,-0.773826139,-107937.3329,-10573.70211,0
282,270000,1,2,1,44,-0.352992053,93803.08669,27778.73976,0
283,180000,2,3,2,30,0.455994497,205278.0091,-1001.889339,0
284,100000,2,1,2,28,0.455994497,20445.68851,-4833.549807,0
285,230000,2,3,1,32,0.455994497,164261.6007,-1192.255652,0
286,210000,2,1,1,46,-1.984915007,-19192.45803,35910.04618,0
287,210000,1,1,2,38,1.130515028,36019.60497,-6967.113532,0
288,440000,2,2,1,46,0.455994497,233216.5826,95.1760824,0
289,100000,2,2,2,25,1.130515028,54547.71215,-7092.093079,1
290,240000,2,2,1,46,0.455994497,-87701.67585,-9663.735826,0
291,280000,1,1,2,33,-1.984915007,-229192.7412,85998.80167,1
292,50000,2,2,2,22,-3.414043715,-110707.1855,-11962.23814,1
293,30000,1,2,1,43,5.675073771,-105456.6755,-11345.76626,0
294,10000,1,2,2,27,1.332964001,-87720.85849,-10197.26676,1
295,130000,1,1,2,29,-3.414043715,-110707.1855,-11540.84947,0
296,200000,1,1,2,31,0.455994497,293318.3069,2223.154547,0
297,120000,2,2,1,29,-1.984915007,-107517.1317,-8388.062222,0
298,210000,2,2,1,36,0.455994497,238817.2534,-5.649044375,0
299,280000,2,1,1,36,0.455994497,3559.328084,-6869.610392,0
300,300000,1,1,2,34,-1.297673335,-92785.66459,2628.207484,1
301,100000,1,2,2,37,0.455994497,80078.20257,-6410.498431,0
302,440000,2,1,2,36,-4.425824512,-110707.1855,22351.07787,0
303,50000,2,3,1,40,0.455994497,-45228.52115,-9126.092212,0
304,20000,2,1,2,25,1.332964001,-70418.0087,-8359.064011,1
305,200000,2,1,2,27,-0.741478918,-103794.4775,-7799.077366,0
306,110000,2,2,2,26,-4.425824512,-105315.715,-5674.72567,0
307,500000,2,2,1,36,-1.984915007,-90351.47898,524.7185887,0
308,300000,2,2,1,27,-2.553830566,-108403.3789,-10156.54525,0
309,30000,1,3,1,55,6.976917538,-81442.98401,-8816.506828,1
310,60000,2,1,2,27,-1.984915007,-82916.45482,8500.663933,0
311,400000,2,2,1,38,-1.149868001,-102141.2623,-5612.926046,0
312,180000,2,2,1,34,0.455994497,227240.8246,-284.1588715,0
313,20000,1,1,2,40,1.324893575,-78589.38746,-7543.501633,0
314,200000,2,3,1,49,2.708059609,24116.67159,-4904.302052,1
315,100000,1,1,2,27,0.455994497,-27956.18626,-9951.813365,0
316,60000,1,2,2,23,0.455994497,-38808.62737,-8758.067522,1
317,110000,2,2,2,36,0.455994497,12442.88797,-6937.569706,0
318,260000,2,3,1,53,-2.158162624,-109910.2989,-11017.57676,0
319,50000,2,3,1,46,3.188201592,-22114.91369,-9657.771707,0
320,180000,1,2,2,29,-3.414043715,-110712.0655,-11962.23814,0
321,110000,1,2,2,29,2.513681062,16723.58109,-8932.539232,1
322,340000,2,1,2,27,0.455994497,269658.1122,17310.49371,0
323,50000,1,2,2,24,0.118734232,-98410.7172,-7977.224288,0
324,230000,2,2,1,28,-1.221891131,-86820.14388,-8405.718126,1
325,360000,2,2,2,32,0.455994497,122604.2016,7743.519685,0
326,210000,1,2,2,43,-0.488686785,-48476.25207,20425.32397,0
327,220000,2,2,1,41,1.835680266,-109320.9229,-11345.95039,1
328,60000,2,2,1,34,4.546477622,-41881.78388,-8662.927073,1
329,340000,1,2,1,55,-3.565611362,-52263.35892,39793.50315,0
330,150000,1,1,1,40,5.337813506,142350.0232,-4190.214751,0
331,200000,2,2,1,37,0.005059779,-93237.74045,1016.307088,1
332,130000,2,2,2,40,1.332964001,-83697.40369,-9908.755667,1
333,60000,2,1,2,28,1.636711558,-73087.5564,-3761.311836,0
334,400000,2,2,1,43,-2.605057165,-82439.36814,5030.067571,0
335,20000,1,1,2,27,0.455994497,-63148.39338,-9581.230686,0
336,190000,2,1,2,28,0.455994497,259366.4074,2056.611076,0
337,260000,2,1,2,30,0.455994497,276876.907,4561.002995,0
338,140000,2,2,2,31,-4.425824512,-110532.6277,-11962.23814,0
339,50000,2,2,1,31,0.455994497,-13730.81345,-6802.490346,1
340,120000,2,1,2,34,-1.546430255,-103491.8231,-3683.951231,0
341,240000,2,2,2,30,-4.425824512,-110551.8017,-11309.79827,0
342,50000,1,2,2,36,0.042675889,-102583.4012,-10401.73873,0
343,200000,2,1,2,29,0.467274013,-81699.54984,500.9424425,0
344,180000,1,1,1,39,-0.378158196,289374.2609,132306.2669,0
345,180000,2,1,2,26,0.455994497,191329.7257,-1860.309278,0
346,160000,2,1,2,29,-1.614413208,-107004.8595,-4968.672289,0
347,100000,2,2,2,26,-0.741478918,-102907.7737,-5898.182837,0
348,50000,2,2,2,29,0.455994497,1247.523024,-7223.271075,1
349,140000,2,2,2,31,0.455994497,230540.5267,1023.367858,0
350,30000,2,2,2,26,0.455994497,-62906.17647,-9477.987349,1
351,90000,1,1,2,26,-0.378158196,-74388.05702,-2531.893625,0
352,200000,1,1,1,36,-2.145441483,-122631.0845,51887.61035,0
353,380000,1,1,2,30,-3.414043715,-110707.1855,-11962.23814,1
354,80000,2,2,2,43,0.455994497,17631.96509,-7014.310412,0
355,50000,1,3,1,58,3.642277211,-66441.1165,-9866.464118,0
356,180000,1,2,1,45,0.118734232,-38848.25821,-8515.573366,1
357,240000,2,2,2,26,0.455994497,186558.0352,-1202.109623,0
358,380000,1,2,2,34,0.455994497,331364.6255,23060.80532,0
359,110000,2,4,2,24,0.455994497,87317.14344,-5097.762395,0
360,260000,1,1,1,34,-1.984915007,-52783.95206,47893.50717,0
361,500000,2,2,2,23,3.947190256,1084927.455,9301.15252,1
362,320000,2,2,2,30,0.455994497,66436.54311,-6265.377225,0
363,50000,1,2,2,32,3.947190256,-8478.21731,-10458.96297,0
364,110000,1,1,1,40,-1.297673335,-108867.3305,-10290.55375,1
365,230000,2,1,2,35,-4.425824512,-109368.4421,-10901.61575,0
366,330000,2,2,1,56,-1.744844015,-104870.4492,-7389.360187,0
367,50000,2,2,1,61,0.455994497,-19487.46624,-7928.677832,0
368,10000,1,2,2,24,2.708059609,-104666.1182,-10801.55239,0
369,300000,1,1,1,40,-3.414043715,-110707.1855,-11962.23814,0
370,20000,2,2,1,32,2.311232089,-71838.85879,-10542.58839,1
371,180000,1,2,1,36,-1.389869859,-73316.90194,-11962.23814,1
372,160000,1,1,2,30,-1.984915007,-86966.60379,27228.42332,0
373,90000,2,1,2,34,2.942866676,-8679.509311,-2114.566947,0
374,30000,1,3,3,54,0.455994497,-53559.27391,-7652.97751,0
375,180000,1,1,1,46,0.455994497,235057.6961,33259.38184,0
376,30000,1,3,1,58,0.455994497,-59567.26236,-8826.840166,0
377,30000,1,2,1,43,2.428047443,-57314.71735,-9308.285498,0
378,140000,2,1,2,28,-1.124701858,-91641.01725,755.5049815,0
379,210000,1,1,2,30,0.455994497,24024.74889,-3352.198642,0
380,50000,1,2,2,31,0.455994497,-76010.6684,-6124.390947,1
381,130000,2,2,2,29,0.455994497,82474.27082,-4792.225672,0
382,50000,2,2,1,37,2.850941327,-104003.3834,-10729.67323,1
383,140000,1,3,1,36,0.455994497,108425.4976,15721.0577,0
384,170000,2,2,2,28,0.98763331,-98944.99721,-9942.877113,1
385,80000,1,2,2,25,-0.335341387,-64639.98288,-5605.709756,0
386,410000,2,5,1,42,0.455994497,607683.3798,13327.3573,0
387,80000,2,1,2,29,-2.553830566,-75365.95265,15737.74869,0
388,80000,1,3,1,73,2.605606411,57700.97639,-3200.835893,1
389,150000,1,2,1,43,0.455994497,272678.7032,1818.024331,0
390,260000,1,1,1,30,-1.13714686,-109603.7831,16356.43587,1
391,350000,1,1,1,38,-3.414043715,-110707.1855,-11962.23814,0
392,280000,2,2,1,39,0.371526365,-40799.55794,5167.090599,1
393,310000,1,2,1,44,0.455994497,96367.40429,-4219.309864,0
394,140000,2,2,2,29,0.455994497,-62796.65454,-5744.368363,0
395,360000,1,1,1,51,-3.228351097,-82654.85307,-3305.992259,0
396,140000,2,1,2,27,0.455994497,238426.8643,5498.980373,0
397,100000,1,1,2,38,0.455994497,-12152.81094,-9759.087366,0
398,50000,2,2,2,22,-4.425824512,-110146.563,-11521.65026,0
